Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,3190.95,03-07-2024 05:30,3194.55,3147.75,2024-07,3158,1152522,Energy
ADANIENT,3144.25,04-07-2024 05:30,3194.45,3138.05,2024-07,3192,1055391,Energy
ADANIENT,3147.9,05-07-2024 05:30,3158.55,3123.95,2024-07,3143.9,663988,Energy
ADANIENT,3113.6,08-07-2024 05:30,3158.2,3075,2024-07,3147.9,1155112,Energy
ADANIENT,3110.75,09-07-2024 05:30,3158,3100.5,2024-07,3115.95,922403,Energy
ADANIENT,3096,10-07-2024 05:30,3127.25,3063.4,2024-07,3120.1,586710,Energy
ADANIENT,3078.3,11-07-2024 05:30,3129.8,3074.1,2024-07,3118.7,899781,Energy
ADANIENT,3065.45,12-07-2024 05:30,3098.8,3058.35,2024-07,3090,756036,Energy
ADANIENT,3090.4,15-07-2024 05:30,3103.5,3058.35,2024-07,3066.1,724174,Energy
ADANIENT,3109.3,16-07-2024 05:30,3137.75,3096.1,2024-07,3110,988357,Energy
ADANIENT,3092.2,18-07-2024 05:30,3111,3057.15,2024-07,3106,1021653,Energy
ADANIENT,3005.7,19-07-2024 05:30,3094.5,3000,2024-07,3092,1026941,Energy
ADANIENT,3000.85,22-07-2024 05:30,3026.9,2972.15,2024-07,3005.7,662085,Energy
ADANIENT,2995.35,23-07-2024 05:30,3038,2886.35,2024-07,3020,1443331,Energy
ADANIENT,2970.7,24-07-2024 05:30,3007.5,2959.3,2024-07,2995.35,693702,Energy
ADANIENT,2973.5,25-07-2024 05:30,3017.65,2945.1,2024-07,2960.7,1105721,Energy
ADANIENT,3080.5,26-07-2024 05:30,3109,2988.1,2024-07,2995,1942427,Energy
ADANIENT,3089.35,29-07-2024 05:30,3120.35,3074,2024-07,3094.3,1037474,Energy
ADANIENT,3128.75,30-07-2024 05:30,3155,3066.65,2024-07,3092,1647048,Energy
ADANIENT,3169.4,31-07-2024 05:30,3197.5,3135,2024-07,3141,2414005,Energy
ADANIENT,3217.25,01-08-2024 05:30,3258,3151.7,2024-08,3180,6149883,Energy
ADANIENT,3160.9,02-08-2024 05:30,3215,3111,2024-08,3200,3360209,Energy
ADANIENT,3038.2,05-08-2024 05:30,3133.05,2996.3,2024-08,3085,2238921,Energy
ADANIENT,3072.7,06-08-2024 05:30,3142.8,3057.25,2024-08,3084,2125201,Energy
ADANIENT,3185.95,07-08-2024 05:30,3190,3112,2024-08,3118,1868169,Energy
ADANIENT,3167.55,08-08-2024 05:30,3242.65,3156.55,2024-08,3190.55,2139376,Energy
ADANIENT,3187.55,09-08-2024 05:30,3219.3,3171.05,2024-08,3209,760165,Energy
ADANIENT,3151.75,12-08-2024 05:30,3169.85,3014,2024-08,3100,10307245,Energy
ADANIENT,3092.2,13-08-2024 05:30,3178.1,3081.75,2024-08,3170.05,2192588,Energy
ADANIENT,3040.1,14-08-2024 05:30,3085.7,3027.75,2024-08,3085.7,1232383,Energy
